invoice_id,entity_name,invoice_date,due_date,amount,currency,type,status,amount_usd
a3d70628,"MCCLAIN, MILLER AND HENDERSON",2025-09-09,2025-11-08,44030.1,USD,AP,Disputed,44030.1
d7c524a5,DAVIS AND SONS,2025-10-19,2026-01-17,49199.84,USD,AP,Open,49199.84
0837b8a3,"GUZMAN, HOFFMAN AND BALDWIN",2025-11-03,2025-11-03,44766.22,USD,AP,Open,44766.22
3602f8ac,"MCCLAIN, MILLER AND HENDERSON",2025-11-09,2026-01-08,6813.02,USD,AP,Paid,6813.02
508ebad7,DUDLEY GROUP,2025-11-29,2026-01-13,21002.68,USD,AP,Paid,21002.68
ea1fca65,BLAIR PLC,2025-07-26,2025-07-26,47328.8,USD,AP,Disputed,47328.8
3f22faf8,BLAIR PLC,2025-10-11,2025-11-25,46279.77,USD,AP,Open,46279.77
95a76d79,JAMES GROUP,2025-10-30,2025-11-14,21484.82,USD,AP,Open,21484.82
382567b8,DAVIS AND SONS,2025-09-03,2025-09-18,24550.02,USD,AP,Open,24550.02
1745d6d8,ABBOTT-MUNOZ,2025-12-14,2026-01-13,7027.54,USD,AP,Open,7027.54
a0a04dc4,ARNOLD LTD,2025-11-01,2025-11-01,9356.23,USD,AP,Open,9356.23
10435a10,"GUZMAN, HOFFMAN AND BALDWIN",2025-07-16,2025-07-16,17197.43,USD,AP,Open,17197.43
877409a9,ABBOTT-MUNOZ,2025-08-26,2025-11-24,37627.57,USD,AP,Paid,37627.57
02f06b90,"REID, FERGUSON AND SANCHEZ",2025-08-02,2025-10-01,17968.53,USD,AP,Open,17968.53
8976e334,GARCIA-JAMES,2025-10-18,2026-01-16,31796.52,USD,AP,Open,31796.52
1c8eaee9,ARNOLD LTD,2025-10-31,2025-11-15,26522.29,USD,AP,Open,26522.29
f42d47cc,"MCCLAIN, MILLER AND HENDERSON",2025-08-09,2025-09-08,49540.89,USD,AP,Paid,49540.89
8026695f,"GARDNER, ROBINSON AND LAWRENCE",2025-10-25,2026-01-23,22960.77,GBP,AP,Paid,28700.9625
deda4e16,"RODRIGUEZ, FIGUEROA AND SANCHEZ",2025-11-02,2025-12-02,41264.77,USD,AP,Open,41264.77
9be578c7,DOYLE LTD,2025-10-08,2025-11-07,37993.83,USD,AP,Open,37993.83
8a14be62,GALLOWAY-WYATT,2025-07-23,2025-08-22,40428.1,USD,AP,Open,40428.1
00257ad1,"GARDNER, ROBINSON AND LAWRENCE",2025-12-06,2025-12-06,28738.95,USD,AP,Paid,28738.95
edd96831,BLAIR PLC,2025-10-03,2026-01-01,29841.49,USD,AP,Open,29841.49
4eb93eff,DAVIS AND SONS,2025-08-22,2025-09-06,35490.75,USD,AP,Open,35490.75
f26b4776,ARNOLD LTD,2025-07-31,2025-08-30,4972.53,USD,AP,Open,4972.53
11b7e948,DOYLE LTD,2025-07-02,2025-09-30,12780.55,GBP,AP,Paid,15975.6875
20de435d,"ADAMS, ZUNIGA AND WONG",2025-12-11,2026-01-10,2993.3,EUR,AP,Paid,3292.6300000000006
43dac043,DUDLEY GROUP,2025-10-14,2025-11-28,3762.48,USD,AP,Paid,3762.48
36386821,JAMES GROUP,2025-09-20,2025-10-05,10894.37,USD,AP,Open,10894.37
337ea2df,"REID, FERGUSON AND SANCHEZ",2025-12-02,2026-01-01,3694.46,USD,AP,Open,3694.46
a65e688e,DOYLE LTD,2025-10-24,2025-12-08,44800.33,USD,AP,Open,44800.33
1efa2197,"MCCLAIN, MILLER AND HENDERSON",2025-08-24,2025-09-08,48664.87,USD,AP,Open,48664.87
969b6662,"GARDNER, ROBINSON AND LAWRENCE",2025-08-01,2025-08-31,26036.66,USD,AP,Open,26036.66
122c9a56,"FLOWERS, MARTIN AND KELLY",2025-09-25,2025-09-25,6294.15,USD,AP,Paid,6294.15
e7c99b26,WILLIAMS AND SONS,2025-10-23,2025-11-07,7077.38,USD,AP,Disputed,7077.38
3ceddf2d,"FLOWERS, MARTIN AND KELLY",2025-06-23,2025-07-23,38215.04,USD,AP,Open,38215.04
21df306f,BLAKE AND SONS,2025-08-07,2025-11-05,9335.81,USD,AP,Paid,9335.81
7900f7f9,ABBOTT-MUNOZ,2025-10-26,2026-01-24,43868.13,USD,AP,Paid,43868.13
30beb45f,GARCIA-JAMES,2025-07-31,2025-07-31,20906.95,USD,AP,Open,20906.95
6c6fa611,"ADAMS, ZUNIGA AND WONG",2025-07-04,2025-07-19,11325.78,USD,AP,Open,11325.78
ac619e63,ABBOTT-MUNOZ,2025-08-30,2025-10-14,6464.99,USD,AP,Open,6464.99
6712303a,"GARDNER, ROBINSON AND LAWRENCE",2025-10-13,2025-10-13,32651.26,USD,AP,Open,32651.26
3fa7f104,"MCCLAIN, MILLER AND HENDERSON",2025-10-27,2026-01-25,43574.93,USD,AP,Open,43574.93
6c006f61,BLAIR PLC,2025-07-22,2025-07-22,31929.36,USD,AP,Open,31929.36
ec5b227c,DOYLE LTD,2025-07-21,2025-10-19,49357.24,USD,AP,Open,49357.24
8ce21ea3,JAMES GROUP,2025-07-01,2025-09-29,273.21,USD,AP,Paid,273.21
d605e770,JAMES GROUP,2025-07-05,2025-07-20,24675.73,USD,AP,Open,24675.73
d9441fa5,"REID, FERGUSON AND SANCHEZ",2025-06-20,2025-07-20,45784.27,USD,AP,Open,45784.27
36b82481,BLAIR PLC,2025-07-30,2025-10-28,1283.77,USD,AP,Open,1283.77
610461e3,JAMES GROUP,2025-11-20,2025-11-20,21735.76,USD,AP,Open,21735.76
c8b8d9c6,JAMES GROUP,2025-06-18,2025-09-16,26069.4,USD,AP,Open,26069.4
f512c4c3,"HENDERSON, RAMIREZ AND LEWIS",2025-11-06,2026-02-04,19544.45,USD,AP,Open,19544.45
b7e99aca,"HENDERSON, RAMIREZ AND LEWIS",2025-10-27,2025-12-26,1347.96,EUR,AP,Open,1482.756
f7fd5646,GALLOWAY-WYATT,2025-09-13,2025-09-28,32237.55,USD,AP,Paid,32237.55
bf7b539b,"ADAMS, ZUNIGA AND WONG",2025-06-28,2025-08-27,34751.13,USD,AP,Open,34751.13
80bacd64,GARCIA-JAMES,2025-08-13,2025-11-11,5261.08,USD,AP,Open,5261.08
f5f59b22,ARNOLD LTD,2025-11-30,2026-01-29,36422.57,EUR,AP,Paid,40064.827000000005
98543881,BLAIR PLC,2025-09-17,2025-11-16,10867.13,USD,AP,Paid,10867.13
1eb0e38a,"ADAMS, ZUNIGA AND WONG",2025-06-30,2025-09-28,13036.9,USD,AP,Open,13036.9
98326856,"GUZMAN, HOFFMAN AND BALDWIN",2025-12-04,2026-03-04,8481.47,USD,AP,Open,8481.47
956b8c0c,GALLOWAY-WYATT,2025-06-25,2025-09-23,17511.17,USD,AP,Paid,17511.17
344a54b8,BLAKE AND SONS,2025-09-27,2025-11-11,32439.81,USD,AP,Open,32439.81
655238a6,GARCIA-JAMES,2025-10-16,2025-10-16,34578.83,USD,AP,Open,34578.83
50f0fd0a,"REID, FERGUSON AND SANCHEZ",2025-07-11,2025-08-10,1763.55,USD,AP,Paid,1763.55
75523327,ABBOTT-MUNOZ,2025-12-02,2025-12-02,46382.43,USD,AP,Open,46382.43
12c136e0,"MCCLURE, WARD AND LEE",2025-10-07,2025-12-06,46871.96,USD,AP,Open,46871.96
eeea163e,"HENDERSON, RAMIREZ AND LEWIS",2025-09-22,2025-12-21,16151.64,USD,AP,Open,16151.64
5e9953d2,"HENDERSON, RAMIREZ AND LEWIS",2025-08-19,2025-10-03,5728.33,EUR,AP,Open,6301.1630000000005
b41b3143,DOYLE LTD,2025-08-08,2025-09-22,17584.91,USD,AP,Paid,17584.91
a76afde6,ABBOTT-MUNOZ,2025-08-11,2025-11-09,20438.83,USD,AP,Disputed,20438.83
4ca415ea,BLAIR PLC,2025-09-21,2025-12-20,46236.74,GBP,AP,Open,57795.924999999996
2260e70f,"RODRIGUEZ, FIGUEROA AND SANCHEZ",2025-12-02,2026-01-31,24732.98,USD,AP,Open,24732.98
8da01097,GALLOWAY-WYATT,2025-08-04,2025-08-19,27653.94,USD,AP,Open,27653.94
b7b56ea7,"REID, FERGUSON AND SANCHEZ",2025-07-15,2025-08-14,17144.45,USD,AP,Open,17144.45
439472e6,"MCCLAIN, MILLER AND HENDERSON",2025-08-18,2025-09-17,16617.06,USD,AP,Open,16617.06
d89a40c0,DAVIS AND SONS,2025-09-16,2025-10-16,42138.44,EUR,AP,Open,46352.28400000001
46d483f3,JAMES GROUP,2025-06-27,2025-09-25,14837.24,USD,AP,Open,14837.24
a319dcb4,ARNOLD LTD,2025-06-25,2025-09-23,48168.02,GBP,AP,Open,60210.024999999994
8d3aed99,"FLOWERS, MARTIN AND KELLY",2025-12-11,2026-02-09,19699.81,USD,AP,Paid,19699.81
