invoice_id,entity_name,invoice_date,due_date,amount,currency,type,status
40181c6e,Larson-Holloway,2025-11-25,2025-12-25,18357.01,USD,AR,Open
d6016237,Jones and Sons,2025-06-22,2025-08-21,17543.77,USD,AR,Paid
ffe3fa49,"Harrison, Johnson and Roberts",2025-11-19,2025-12-04,18038.73,USD,AR,Paid
0a4c9f7f,"Fernandez, Kim and George",2025-11-02,,32264.32,GBP,AR,Open
a6c9537f,"DURAN, OBRIEN AND GIBBS",2025-11-02,2025-12-17,38283.99,USD,AR,Open
95d82980,Lyons-Bender,2025-09-05,2025-10-20,43495.3,USD,AR,Open
175ba98d,Gonzales-Harrison,2025-09-04,2025-10-19,46990.83,USD,AR,Open
ab8ddeb4,Ortiz Ltd,2025-09-10,2025-10-25,15720.58,USD,AR,Paid
b194990b,"Harrison, Johnson and Roberts",2025-07-06,2025-08-20,40307.01,USD,AR,Disputed
d045dd1c,"Branch, Torres and Oliver",2025-09-15,2025-09-30,16935.0,USD,AR,Open
50843242,"Branch, Torres and Oliver",2025-11-01,2025-12-01,15843.68,USD,AR,Open
6778043b,Larson-Holloway,2025-08-02,2025-10-31,26131.82,USD,AR,Open
a85c6e4a,Arnold and Sons,2025-11-20,2025-11-20,20411.31,USD,AR,Paid
300568d2,"Duran, Obrien and Gibbs",2025-11-21,,19645.09,USD,AR,Open
a01ac992,Miller-Wright,2025-09-19,2025-10-19,34475.35,USD,AR,Paid
8c99a894," Choi, Garcia and Farmer ",2025-09-05,2025-11-04,32912.28,USD,AR,Paid
b2c08394,Ortiz Ltd,2025-07-11,2025-07-11,1696.65,USD,AR,Open
9bdf0377,"Branch, Torres and Oliver",2025-09-13,2025-09-28,9049.32,USD,AR,Open
8d03c91e,Kerr-Evans,2025-11-08,2025-11-23,28043.2,USD,AR,Open
fe049059,Lyons-Bender,2025-06-20,2025-08-04,42300.76,USD,AR,Open
1e1242e3, Miller-Wright ,2025-11-16,2025-12-31,6209.73,USD,AR,Open
b77350ca,Kerr-Evans,2025-10-12,2025-10-12,3803.64,USD,AR,Open
d5b077e0,Hernandez PLC,2025-08-09,2025-08-24,9247.44,USD,AR,Open
8d1fb540,Hernandez PLC,2025-09-12,2025-10-27,12625.18,USD,AR,Open
821c1336,Ortiz Ltd,2025-07-14,2025-10-12,34654.51,USD,AR,Open
46b82659,"Choi, Garcia and Farmer",2025-10-30,2025-12-29,28197.9,GBP,AR,Open
ef2ae713,Jones and Sons,2025-11-04,2025-12-19,35499.38,USD,AR,Paid
486822b9,Rowe Group,2025-11-06,2026-01-05,8375.63,USD,AR,Open
ffb8102d,GONZALES-HARRISON,2025-10-26,2025-12-10,16221.03,USD,AR,Open
89e06ab3,Warner-Gibson,2025-10-14,2025-11-28,2889.87,USD,AR,Open
8b1e3b9d,Rowe Group,2025-09-13,2025-11-12,9697.35,USD,AR,Open
304b8590,Ortiz Ltd,2025-08-24,2025-11-22,16699.03,USD,AR,Open
3bcabf85,Warner-Gibson,2025-12-11,2025-12-11,18796.21,USD,AR,Open
bea4ff31,Hernandez PLC,2025-11-19,2025-12-04,38059.24,USD,AR,Open
